abstract_key,PMID,Title,Dataset,n_sentences,tertile__within_results_analogue,tertile__conclusion_results_analogue,tertile__final_similarity_to_opening_analogue,tertile__closing_to_opening_analogue,tertile__methods_aim_analogue,tertile__results_aim_analogue,quintile__within_results_analogue,quintile__conclusion_results_analogue,quintile__final_similarity_to_opening_analogue,quintile__closing_to_opening_analogue,quintile__methods_aim_analogue,quintile__results_aim_analogue,template__within_Background_similarity,template__within_Aim_similarity,template__within_Methods_similarity,template__within_Results_similarity,template__within_Conclusion_similarity,template__within_Limitation/Future_similarity,template__conclusion_to_aim_alignment,template__conclusion_to_results_alignment,template__results_to_methods_alignment,template__methods_to_aim_alignment,template__results_to_aim_alignment,template__final_similarity_to_opening_anchor,template__conclusion_to_background_plus_aim_alignment,template__conclusion_plus_future_to_background_plus_aim_alignment
Review::32316357::Does Diabetes Induce the Vascular Endothelial Growth Factor (VEGF) Expression in Periodontal Tissues? A Systematic Review.,32316357,Does Diabetes Induce the Vascular Endothelial Growth Factor (VEGF) Expression in Periodontal Tissues? A Systematic Review.,Review,12,0.2454566696520026,0.7334982752799988,0.8215957283973694,0.7599534392356873,0.6628944873809814,0.6628944873809814,0.0210892512194823,0.3303765952587127,0.8388397097587585,0.7728180885314941,0.7155722379684448,0.1320972144603729,,,0.523164295619597,0.1041847676047607,-0.0643027087830443,,0.6371465921401978,0.6412550210952759,0.677341878414154,0.7845489978790283,0.4681367874145508,0.8388397097587585,0.585423469543457,0.585423469543457
Review::39948158::The impact of e-cigarette use on periodontal health: a systematic review and meta-analysis.,39948158,The impact of e-cigarette use on periodontal health: a systematic review and meta-analysis.,Review,17,0.2170537650916441,0.6884486675262451,0.1337218880653381,0.5254333019256592,0.5559897422790527,0.5559897422790527,0.6180268583312319,0.6488522291183472,0.1151457875967025,0.5339492559432983,0.4552107751369476,0.4582120180130005,0.235138579132206,0.2009629521035888,0.1976277477005729,0.446646058065672,0.1304938704566009,,0.1915701925754547,0.7244150638580322,0.4086211323738098,0.3122832179069519,0.1140049695968627,0.1760083138942718,0.4981836080551147,0.4981836080551147
Review::40897233::Clinical outcomes of periodontal regeneration using biologic agents alone or in combination with graft materials for intrabony defects: A systematic review and meta-analysis.,40897233,Clinical outcomes of periodontal regeneration using biologic agents alone or in combination with graft materials for intrabony defects: A systematic review and meta-analysis.,Review,14,0.3137132315477809,0.5997146368026733,0.5718752145767212,0.5237754583358765,0.426557719707489,0.426557719707489,0.2300331871675497,0.597468912601471,0.5489448308944702,0.5879712700843811,0.4936954975128174,0.3040027618408203,-0.0055460258111492,,0.3268761980951772,0.1827179862677067,0.5581129635085615,,0.1440007090568542,0.5086225271224976,0.5813714265823364,0.2989916503429413,0.171415239572525,0.4788506627082824,0.4347714483737945,0.4347714483737945
Review::39248301::The impact of systemic and topical antimicrobial therapy combined with non-surgical periodontal therapy: A meta-analysis.,39248301,The impact of systemic and topical antimicrobial therapy combined with non-surgical periodontal therapy: A meta-analysis.,Review,13,0.1812805624305056,0.5615938901901245,0.2809991836547851,0.4741144180297851,0.6078783273696899,0.6078783273696899,0.5716024549696849,0.7445160746574402,0.1842320263385772,0.4760236740112304,0.5547800660133362,0.3565026521682739,-0.0328063598576824,,0.1394907908761156,0.3083707442319661,0.602502965184986,,0.6513625383377075,0.7524588108062744,0.3964991569519043,0.4977562129497528,0.4071757197380066,0.294452965259552,0.5427266359329224,0.5427266359329224
Review::27454460::Root coverage procedures improve patient aesthetics. A systematic review and Bayesian network meta-analysis.,27454460,Root coverage procedures improve patient aesthetics. A systematic review and Bayesian network meta-analysis.,Review,8,0.3396042892206295,0.5933699011802673,0.5255393981933594,0.5419975519180298,0.5121285915374756,0.5121285915374756,0.2775199945041141,0.4947925209999084,0.7020816802978516,0.5181844234466553,0.4562151730060577,0.4527853429317474,,,0.3396042892206295,0.1011117633339058,,,0.1521908044815063,0.4051210880279541,0.5672754049301147,0.4130485653877258,0.3292081952095032,0.5255393981933594,0.5255393981933594,0.5255393981933594
Review::26595831::Association of susceptible genotypes to periodontal disease with the clinical outcome and tooth survival after non-surgical periodontal therapy: A systematic review and meta-analysis.,26595831,Association of susceptible genotypes to periodontal disease with the clinical outcome and tooth survival after non-surgical periodontal therapy: A systematic review and meta-analysis.,Review,16,0.1883366124140146,0.3606497943401336,0.4125017523765564,0.6987230777740479,0.3864195346832275,0.3864195346832275,0.2121929923013532,0.507733166217804,0.2476939260959625,0.5866948366165161,0.286495953798294,0.5552986860275269,0.7550503049417245,,0.1907884159088627,0.1840368856530752,0.1626128372523858,,0.0889182984828949,0.5657763481140137,0.5860307216644287,0.2324638217687606,0.1513386368751526,0.2476939260959625,0.509973406791687,0.509973406791687
Review::34246253::Effects of non-surgical periodontal therapy on periodontal clinical data in periodontitis patients with rheumatoid arthritis: a meta-analysis.,34246253,Effects of non-surgical periodontal therapy on periodontal clinical data in periodontitis patients with rheumatoid arthritis: a meta-analysis.,Review,19,0.3329282689849472,0.7140271663665771,0.4368351101875305,0.6500888466835022,0.7386831641197205,0.7386831641197205,0.2535608747288231,0.5406845808029175,0.2743877172470093,0.7111948728561401,0.5436327457427979,0.3822816610336303,0.6590641952914501,0.055150062791796,0.355019016202153,0.2484360999398152,0.3213787556233397,,0.5858625769615173,0.6309102773666382,0.6276212930679321,0.486453652381897,0.4610455632209778,0.3125584125518799,0.7872002124786377,0.7872002124786377
Review::31577700::Association between the IL-10 rs1800872 polymorphisms and periodontitis susceptibility: A meta-analysis.,31577700,Association between the IL-10 rs1800872 polymorphisms and periodontitis susceptibility: A meta-analysis.,Review,12,0.1440179585120829,0.4625259041786194,0.3939539492130279,0.6711953282356262,0.5520649552345276,0.5520649552345276,0.2526392114461349,0.6312063932418823,0.5335072875022888,0.7635166645050049,0.3094921410083771,0.5864455699920654,,,0.1331070914906333,0.2175353305594078,0.438183144330909,,0.7251850962638855,0.6467143297195435,0.5748598575592041,0.3617480993270874,0.6440541744232178,0.5335072875022888,0.7402892708778381,0.7402892708778381
Review::33179280::Is periodontal disease a risk indicator for colorectal cancer? A systematic review and meta-analysis.,33179280,Is periodontal disease a risk indicator for colorectal cancer? A systematic review and meta-analysis.,Review,12,0.2643060489824108,0.6886721849441528,0.5131150484085083,0.7014130353927612,0.669306218624115,0.669306218624115,0.1032632414414419,0.618752121925354,0.4848612546920776,0.5180412530899048,0.4977440237998962,0.3748258650302887,,,0.2787977758511073,0.266337020941611,0.4093600451147228,,0.134405106306076,0.632684588432312,0.7777796983718872,0.3190368115901947,0.2684556245803833,0.4848612546920776,0.5420688390731812,0.5420688390731812
Review::41810713::Oral Health and Oral Hygiene Status Among the Particularly Vulnerable Tribal Groups (PVTGs) of India: A Systematic Review and Meta-Analysis.,41810713,Oral Health and Oral Hygiene Status Among the Particularly Vulnerable Tribal Groups (PVTGs) of India: A Systematic Review and Meta-Analysis.,Review,17,0.2812569642535143,0.6309868097305298,0.1246533542871475,0.6656973958015442,0.56715989112854,0.56715989112854,0.2170577286263967,0.5470302104949951,0.1005526706576347,0.6709996461868286,0.6348444223403931,0.4558595418930053,0.3882993232116829,0.103904927416378,0.3832597279498623,0.2731140263587988,0.2112914027005301,,0.5445896983146667,0.4941610991954803,0.5375962257385254,0.5077903270721436,0.3923682272434234,0.1238384991884231,0.6971403956413269,0.6971403956413269
