embedding_model_label,perturbation_condition,Metric,expected_pattern,mean_delta,mean_absolute_delta,observed_matches_expected
MiniLM,full_sentence_shuffle,n_sentences,not_prespecified,0.0,0.0,
MiniLM,full_sentence_shuffle,mean_label_confidence,not_prespecified,1.4432899320127036e-17,4.996003610813205e-17,
MiniLM,full_sentence_shuffle,mean_local_similarity,decrease,-0.0093472658649167,0.0582151306628768,True
MiniLM,full_sentence_shuffle,min_local_similarity,not_prespecified,-0.0054779493436217,0.0425930932257324,
MiniLM,full_sentence_shuffle,local_similarity_volatility,not_prespecified,0.0034694678810562,0.035714436652832,
MiniLM,full_sentence_shuffle,local_discontinuity_burden,not_prespecified,-0.0060384178514983,0.0758686492815749,
MiniLM,full_sentence_shuffle,within_role_discontinuity_burden,not_prespecified,-0.0568345646871188,0.0681283623926812,
MiniLM,full_sentence_shuffle,mean_similarity_to_opening_anchor,not_prespecified,-2.4966669731618646e-10,2.31670084227531e-09,
MiniLM,full_sentence_shuffle,final_similarity_to_opening_anchor,decrease,-0.1094466653699055,0.233338921344839,True
MiniLM,full_sentence_shuffle,mean_similarity_to_own_role_anchor_loo,not_prespecified,-3.978987972441672e-12,2.383690811125216e-09,
MiniLM,full_sentence_shuffle,within_Methods_similarity,not_prespecified,0.0,0.0,
MiniLM,full_sentence_shuffle,within_Results_similarity,not_prespecified,0.0,0.0,
MiniLM,full_sentence_shuffle,conclusion_to_aim_alignment,not_prespecified,-2.947482433947888e-09,2.947482433947888e-09,
MiniLM,full_sentence_shuffle,conclusion_to_results_alignment,not_prespecified,-3.913436273131708e-09,9.332040343621763e-09,
MiniLM,full_sentence_shuffle,results_to_methods_alignment,not_prespecified,-2.682209014892578e-09,1.6391277313232423e-08,
MiniLM,full_sentence_shuffle,methods_to_aim_alignment,not_prespecified,3.1583982965220567e-09,1.1742762897325598e-08,
MiniLM,full_sentence_shuffle,results_to_aim_alignment,not_prespecified,-3.563321155050526e-09,1.133784003879713e-08,
MiniLM,full_sentence_shuffle,conclusion_to_background_plus_aim_alignment,not_prespecified,-1.0536174581508443e-09,7.074288647584241e-09,
MiniLM,full_sentence_shuffle,conclusion_plus_future_to_background_plus_aim_alignment,not_prespecified,3.0103355947166985e-10,8.127906105735085e-09,
MiniLM,label_swap_methods_results,n_sentences,not_prespecified,0.0,0.0,
MiniLM,label_swap_methods_results,mean_label_confidence,not_prespecified,0.0,0.0,
MiniLM,label_swap_methods_results,mean_local_similarity,not_prespecified,0.0,0.0,
MiniLM,label_swap_methods_results,min_local_similarity,not_prespecified,0.0,0.0,
MiniLM,label_swap_methods_results,local_similarity_volatility,not_prespecified,0.0,0.0,
MiniLM,label_swap_methods_results,local_discontinuity_burden,not_prespecified,0.0,0.0,
MiniLM,label_swap_methods_results,within_role_discontinuity_burden,not_prespecified,0.0,0.0,
