embedding_model_label,Dataset,perturbation_condition,Metric,n,mean_delta,sd_delta,median_delta,mean_absolute_delta
MiniLM,Clinical,full_sentence_shuffle,n_sentences,50,0.0,0.0,0.0,0.0
MiniLM,Clinical,full_sentence_shuffle,mean_label_confidence,50,1.9984014443252817e-17,9.696875916601635e-17,0.0,5.10702591327572e-17
MiniLM,Clinical,full_sentence_shuffle,mean_local_similarity,50,-0.0084137061260157,0.0662291150920256,-0.0007249245420098,0.0515361330917694
MiniLM,Clinical,full_sentence_shuffle,min_local_similarity,50,-0.004584267931059,0.0645803993795171,0.0,0.0422163611184805
MiniLM,Clinical,full_sentence_shuffle,local_similarity_volatility,50,0.0030844296001229,0.0405714684359226,0.0049123562239217,0.0316278024061913
MiniLM,Clinical,full_sentence_shuffle,local_discontinuity_burden,50,0.0012663149543954,0.0968706854638649,0.0,0.0689310391191196
MiniLM,Clinical,full_sentence_shuffle,within_role_discontinuity_burden,50,-0.048587677802074,0.0686463509584813,-0.0769230769230769,0.0657454089598052
MiniLM,Clinical,full_sentence_shuffle,mean_similarity_to_opening_anchor,50,3.1780473030984517e-10,2.4961494637450317e-09,0.0,9.39645993236482e-10
MiniLM,Clinical,full_sentence_shuffle,final_similarity_to_opening_anchor,50,-0.0170511334668844,0.2643344012879223,-0.0218751947395503,0.2071996286604553
MiniLM,Clinical,full_sentence_shuffle,mean_similarity_to_own_role_anchor_loo,50,3.1889513252281177e-12,4.614233428733541e-09,0.0,2.8144553443354423e-09
MiniLM,Clinical,full_sentence_shuffle,within_Methods_similarity,47,0.0,0.0,0.0,0.0
MiniLM,Clinical,full_sentence_shuffle,within_Results_similarity,46,0.0,0.0,0.0,0.0
MiniLM,Clinical,full_sentence_shuffle,conclusion_to_aim_alignment,44,0.0,0.0,0.0,0.0
MiniLM,Clinical,full_sentence_shuffle,conclusion_to_results_alignment,49,-7.906738592653859e-09,2.6359693806805365e-08,0.0,1.15560025584941e-08
MiniLM,Clinical,full_sentence_shuffle,results_to_methods_alignment,50,1.1920928955078123e-09,3.2956263815272946e-08,0.0,1.6689300537109377e-08
MiniLM,Clinical,full_sentence_shuffle,methods_to_aim_alignment,45,6.622738308376736e-09,2.903998835667249e-08,0.0,1.1920928955078126e-08
MiniLM,Clinical,full_sentence_shuffle,results_to_aim_alignment,45,-1.324547661675347e-09,2.004802144008927e-08,0.0,7.947285970052083e-09
MiniLM,Clinical,full_sentence_shuffle,conclusion_to_background_plus_aim_alignment,49,-6.082106609733737e-10,1.289014456143333e-08,0.0,3.0410533048668687e-09
MiniLM,Clinical,full_sentence_shuffle,conclusion_plus_future_to_background_plus_aim_alignment,49,-6.082106609733737e-10,1.289014456143333e-08,0.0,3.0410533048668687e-09
MiniLM,Clinical,label_swap_methods_results,n_sentences,50,0.0,0.0,0.0,0.0
MiniLM,Clinical,label_swap_methods_results,mean_label_confidence,50,0.0,0.0,0.0,0.0
MiniLM,Clinical,label_swap_methods_results,mean_local_similarity,50,0.0,0.0,0.0,0.0
MiniLM,Clinical,label_swap_methods_results,min_local_similarity,50,0.0,0.0,0.0,0.0
MiniLM,Clinical,label_swap_methods_results,local_similarity_volatility,50,0.0,0.0,0.0,0.0
MiniLM,Clinical,label_swap_methods_results,local_discontinuity_burden,50,0.0,0.0,0.0,0.0
MiniLM,Clinical,label_swap_methods_results,within_role_discontinuity_burden,50,0.0,0.0,0.0,0.0
MiniLM,Clinical,label_swap_methods_results,mean_similarity_to_opening_anchor,50,0.0,0.0,0.0,0.0
MiniLM,Clinical,label_swap_methods_results,final_similarity_to_opening_anchor,50,0.0,0.0,0.0,0.0
MiniLM,Clinical,label_swap_methods_results,mean_similarity_to_own_role_anchor_loo,50,-0.0055962597476591,0.0840771383188438,0.0050089614889161,0.0610196472278591
MiniLM,Clinical,label_swap_methods_results,within_Methods_similarity,44,0.1453665034628767,0.2104782123182209,0.1146327971791227,0.195680080685317
MiniLM,Clinical,label_swap_methods_results,conclusion_to_aim_alignment,44,0.0,0.0,0.0,0.0
MiniLM,Clinical,label_swap_methods_results,methods_to_aim_alignment,45,-0.1091518968343734,0.1726261064466786,-0.0843279361724853,0.1599561780691147
MiniLM,Clinical,label_swap_methods_results,conclusion_to_background_plus_aim_alignment,49,0.0,0.0,0.0,0.0
MiniLM,Clinical,label_swap_methods_results,conclusion_plus_future_to_background_plus_aim_alignment,49,0.0,0.0,0.0,0.0
MiniLM,Clinical,order_swap_methods_results_blocks,n_sentences,50,-0.22,0.8154127538760195,0.0,0.22
MiniLM,Clinical,order_swap_methods_results_blocks,mean_label_confidence,50,0.0004228316265777,0.0030998213493587,0.0,0.0006406648769187
MiniLM,Clinical,order_swap_methods_results_blocks,mean_local_similarity,50,-0.0068590394602416,0.0432208290791365,-0.0076629449768612,0.0296397229048045
MiniLM,Clinical,order_swap_methods_results_blocks,min_local_similarity,50,0.0012424078583717,0.0549743151764503,0.0,0.0204107987135648
MiniLM,Clinical,order_swap_methods_results_blocks,local_similarity_volatility,50,0.0002705151844078,0.0286337960582057,0.0023211081798803,0.0196180037330846
MiniLM,Clinical,order_swap_methods_results_blocks,local_discontinuity_burden,50,-0.0029394889596127,0.0654071828499743,0.0,0.0414000603799365
MiniLM,Clinical,order_swap_methods_results_blocks,within_role_discontinuity_burden,50,-0.0033643129316503,0.0380573656667822,0.0,0.0187417476744102
MiniLM,Clinical,order_swap_methods_results_blocks,mean_similarity_to_opening_anchor,50,0.0028468152416449,0.0263017665652135,0.0,0.0057035404813307
MiniLM,Clinical,order_swap_methods_results_blocks,final_similarity_to_opening_anchor,50,0.0264867083728313,0.1118016423082505,0.0,0.0411083360016346
MiniLM,Clinical,order_swap_methods_results_blocks,mean_similarity_to_own_role_anchor_loo,50,0.0055908395461611,0.0279736193685895,0.0,0.0071238733789436
MiniLM,Clinical,order_swap_methods_results_blocks,within_Methods_similarity,46,0.0,0.0,0.0,0.0
MiniLM,Clinical,order_swap_methods_results_blocks,within_Results_similarity,46,0.0,0.0,0.0,0.0
MiniLM,Clinical,order_swap_methods_results_blocks,conclusion_to_aim_alignment,42,0.0052437895820254,0.042229144952317,0.0,0.0075305558386303
MiniLM,Clinical,order_swap_methods_results_blocks,conclusion_to_results_alignment,48,0.0001617322365442,0.0211169006183119,0.0,0.0042623927195866
